Description,Scientific Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Ensifer adhaerens strain Corn53 chromosome, complete genome",Ensifer adhaerens,106592,146,146,91%,1e-30,83.33,4049947,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP030262.1?report=genbank&log$=nucltop&blast_rank=1&RID=UUVAKDDR01R"",""CP030262.1"")"
"Ensifer adhaerens strain Casida A, complete sequence",Ensifer adhaerens,106592,146,146,91%,1e-30,83.33,4071185,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP015880.1?report=genbank&log$=nucltop&blast_rank=2&RID=UUVAKDDR01R"",""CP015880.1"")"
"Ensifer sp. T173 chromosome, complete genome",Ensifer sp. T173,555315,146,146,91%,1e-30,83.33,4051102,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP083370.1?report=genbank&log$=nucltop&blast_rank=3&RID=UUVAKDDR01R"",""CP083370.1"")"
Ensifer adhaerens OV14 chromosome 1 sequence,Ensifer adhaerens OV14,1416753,146,146,91%,1e-30,83.33,3956045,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP007236.1?report=genbank&log$=nucltop&blast_rank=4&RID=UUVAKDDR01R"",""CP007236.1"")"
"Ensifer adhaerens strain E-60 chromosome, complete genome",Ensifer adhaerens,106592,141,141,91%,1e-29,82.61,4107670,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP084486.1?report=genbank&log$=nucltop&blast_rank=5&RID=UUVAKDDR01R"",""CP084486.1"")"
Sinorhizobium meliloti WSM1022 chromosome,Sinorhizobium meliloti WSM1022,1041157,133,133,90%,7e-27,81.62,3703795,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP054390.1?report=genbank&log$=nucltop&blast_rank=6&RID=UUVAKDDR01R"",""CP054390.1"")"
"Sinorhizobium meliloti strain AK21 chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7e-27,81.62,3785735,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP026525.1?report=genbank&log$=nucltop&blast_rank=7&RID=UUVAKDDR01R"",""CP026525.1"")"
"Sinorhizobium meliloti strain B399 chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7e-27,81.62,3781386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP019488.1?report=genbank&log$=nucltop&blast_rank=8&RID=UUVAKDDR01R"",""CP019488.1"")"
"Sinorhizobium meliloti strain B401 chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7e-27,81.62,3459457,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP019485.1?report=genbank&log$=nucltop&blast_rank=9&RID=UUVAKDDR01R"",""CP019485.1"")"
"Sinorhizobium meliloti strain CCMM B554 (FSM-MA), complete genome",Sinorhizobium meliloti,382,133,133,90%,7e-27,81.62,3641423,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP019584.1?report=genbank&log$=nucltop&blast_rank=10&RID=UUVAKDDR01R"",""CP019584.1"")"
"Sinorhizobium meliloti strain HM006 chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7e-27,81.62,3664783,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP021829.1?report=genbank&log$=nucltop&blast_rank=11&RID=UUVAKDDR01R"",""CP021829.1"")"
"Sinorhizobium meliloti strain KH35c chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7e-27,81.62,3668245,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP021825.1?report=genbank&log$=nucltop&blast_rank=12&RID=UUVAKDDR01R"",""CP021825.1"")"
