Description,Scientific Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Acidovorax monticola strain KACC 19171 chromosome, complete genome",Acidovorax monticola,1926868,94.2,94.2,87%,6e-15,75.56,4679990,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP060790.1?report=genbank&log$=nucltop&blast_rank=1&RID=UUTDGZXG013"",""CP060790.1"")"
"Comamonas sp. CJ34 chromosome, complete genome",Comamonas sp. CJ34,2796366,91.5,91.5,88%,2e-14,74.82,4856737,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP066783.1?report=genbank&log$=nucltop&blast_rank=2&RID=UUTDGZXG013"",""CP066783.1"")"
"Noviherbaspirillum sp. UKPF54 chromosome, complete genome",Noviherbaspirillum sp. UKPF54,2601898,79.7,79.7,48%,1e-10,84.00,4718988,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP040128.1?report=genbank&log$=nucltop&blast_rank=3&RID=UUTDGZXG013"",""CP040128.1"")"
"Cupriavidus necator strain NH9 chromosome 1, complete sequence",Cupriavidus necator,106590,74.3,74.3,78%,5e-09,75.21,4347557,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP017757.2?report=genbank&log$=nucltop&blast_rank=4&RID=UUTDGZXG013"",""CP017757.2"")"
"Massilia putida strain 6NM-7 chromosome, complete genome",Massilia putida,1141883,71.6,71.6,44%,2e-08,85.29,6987670,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP019038.1?report=genbank&log$=nucltop&blast_rank=5&RID=UUTDGZXG013"",""CP019038.1"")"
"Rhodoferax sediminis strain CHu59-6-5 chromosome, complete genome",Rhodoferax sediminis,2509614,69.8,69.8,88%,7e-08,71.43,4387497,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP035503.1?report=genbank&log$=nucltop&blast_rank=6&RID=UUTDGZXG013"",""CP035503.1"")"
"Ralstonia solanacearum strain SL2064 plasmid unnamed, complete sequence",Ralstonia solanacearum,305,57.2,57.2,30%,4e-04,86.96,1884392,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP022799.1?report=genbank&log$=nucltop&blast_rank=7&RID=UUTDGZXG013"",""CP022799.1"")"
"Ralstonia solanacearum strain SL2312 plasmid unnamed, complete sequence",Ralstonia solanacearum,305,57.2,57.2,30%,4e-04,86.96,1988567,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP022797.1?report=genbank&log$=nucltop&blast_rank=8&RID=UUTDGZXG013"",""CP022797.1"")"
"Ralstonia solanacearum strain SL3022 plasmid unnamed, complete sequence",Ralstonia solanacearum,305,57.2,57.2,30%,4e-04,86.96,2034982,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP023017.1?report=genbank&log$=nucltop&blast_rank=9&RID=UUTDGZXG013"",""CP023017.1"")"
"Ralstonia solanacearum strain SL3175 plasmid unnamed, complete sequence",Ralstonia solanacearum,305,57.2,57.2,30%,4e-04,86.96,1986284,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP022789.1?report=genbank&log$=nucltop&blast_rank=10&RID=UUTDGZXG013"",""CP022789.1"")"
